Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2018-12-01,Derby,Swansea,2,1,H,2,0,H,A Madley,16,7,4,2,7,7,5,5,0,0,0,0,Frank Lampard
E1,2018-12-08,Wigan,Derby,0,1,A,0,1,A,G Ward,7,16,2,5,9,14,1,6,1,2,1,0,Frank Lampard
E1,2018-12-17,Derby,Nott'm Forest,0,0,D,0,0,D,K Stroud,12,14,3,4,21,11,2,4,3,3,0,0,Frank Lampard
E1,2018-12-22,Derby,Bristol City,1,1,D,1,1,D,D Bond,21,15,7,3,9,8,9,3,0,1,0,0,Frank Lampard
E1,2018-12-26,Sheffield United,Derby,3,1,H,1,0,H,G Eltringham,16,9,6,3,13,10,2,6,3,5,0,0,Frank Lampard
E1,2018-12-29,Norwich,Derby,3,4,A,2,2,D,D Webb,24,19,7,5,13,12,5,7,3,3,0,0,Frank Lampard
E1,2019-01-01,Derby,Middlesbrough,1,1,D,1,0,H,R Jones,8,11,2,2,8,12,4,5,0,2,0,0,Frank Lampard
E1,2019-01-11,Leeds,Derby,2,0,H,1,0,H,A Davies,15,7,5,2,12,14,8,2,1,4,0,0,Frank Lampard
E1,2019-01-19,Derby,Reading,2,1,H,2,0,H,A Woolmer,10,9,4,2,9,10,4,3,2,1,0,0,Frank Lampard
E1,2019-02-01,Preston,Derby,0,0,D,0,0,D,D Bond,23,7,3,0,8,17,11,1,1,1,0,0,Frank Lampard
E1,2019-02-09,Derby,Hull,2,0,H,1,0,H,G Ward,20,7,10,1,8,11,5,3,1,1,0,0,Frank Lampard
E1,2019-02-13,Ipswich,Derby,1,1,D,0,1,A,A Madley,16,15,3,5,18,16,7,4,3,4,0,0,Frank Lampard
E1,2019-02-20,Derby,Millwall,0,1,A,0,0,D,J Linington,13,4,1,1,13,11,6,1,2,3,0,0,Frank Lampard
E1,2019-02-25,Nott'm Forest,Derby,1,0,H,1,0,H,R Jones,15,6,2,2,17,13,2,3,2,3,0,0,Frank Lampard
E1,2019-03-02,Aston Villa,Derby,4,0,H,4,0,H,L Mason,13,3,6,0,5,14,8,1,2,2,0,0,Frank Lampard
E1,2019-03-05,Derby,Wigan,2,1,H,0,1,A,T Harrington,17,13,5,3,16,13,6,5,4,1,0,0,Frank Lampard
E1,2019-03-09,Derby,Sheffield Weds,1,1,D,1,0,H,K Stroud,10,13,5,3,12,18,6,2,2,3,0,0,Frank Lampard
E1,2019-03-13,Derby,Stoke,0,0,D,0,0,D,O Langford,19,5,4,0,9,11,4,3,0,2,0,0,Frank Lampard
E1,2019-03-30,Derby,Rotherham,6,1,H,3,0,H,T Robinson,15,8,7,4,9,12,1,5,0,1,0,0,Frank Lampard
E1,2019-04-06,Brentford,Derby,3,3,D,2,2,D,J Brooks,15,12,6,8,17,22,7,3,3,5,0,0,Frank Lampard
E1,2019-04-09,Blackburn,Derby,2,0,H,0,0,D,J Simpson,23,6,5,1,10,13,9,3,2,0,0,0,Frank Lampard
E1,2019-04-13,Derby,Bolton,4,0,H,2,0,H,A Davies,20,8,9,2,14,8,10,3,1,1,0,0,Frank Lampard
E1,2019-04-19,Birmingham,Derby,2,2,D,2,2,D,S Hooper,20,11,3,5,17,14,9,4,3,3,0,0,Frank Lampard
E1,2019-04-22,Derby,QPR,2,0,H,0,0,D,D Webb,17,11,8,2,10,16,8,2,1,3,0,0,Frank Lampard
E1,2019-04-27,Bristol City,Derby,0,2,A,0,1,A,D Bond,23,8,11,4,8,19,5,2,0,4,1,0,Frank Lampard
E1,2019-05-01,Swansea,Derby,1,1,D,0,1,A,P Bankes,12,13,6,4,7,16,4,8,3,4,0,0,Frank Lampard
E1,2019-05-05,Derby,West Brom,3,1,H,1,0,H,T Robinson,23,8,13,2,12,14,5,2,1,5,0,1,Frank Lampard
