Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2018-08-03,Reading,Derby,1,2,A,0,0,D,R Jones,8,11,5,3,14,16,2,4,3,4,0,0,Frank Lampard
E1,2018-08-11,Derby,Leeds,1,4,A,1,2,A,P Bankes,12,17,4,7,10,19,3,5,4,2,0,0,Frank Lampard
E1,2018-08-18,Millwall,Derby,2,1,H,2,0,H,S Martin,12,12,4,4,15,10,4,10,1,1,0,0,Frank Lampard
E1,2018-08-21,Derby,Ipswich,2,0,H,0,0,D,S Duncan,10,11,2,2,10,10,4,4,2,2,0,0,Frank Lampard
E1,2018-08-25,Derby,Preston,2,0,H,1,0,H,D Webb,15,6,4,4,17,10,9,4,3,1,0,0,Frank Lampard
E1,2018-09-01,Hull,Derby,1,2,A,0,1,A,J Brooks,18,11,2,5,10,16,7,10,2,1,0,0,Frank Lampard
E1,2018-09-15,Rotherham,Derby,1,0,H,0,0,D,P Bankes,16,12,6,4,15,12,9,5,4,4,0,1,Frank Lampard
E1,2018-09-18,Derby,Blackburn,0,0,D,0,0,D,D England,22,6,3,2,18,13,3,1,2,3,0,0,Frank Lampard
E1,2018-09-22,Derby,Brentford,3,1,H,3,1,H,A Madley,16,16,6,2,9,9,3,9,2,1,0,0,Frank Lampard
E1,2018-09-29,Bolton,Derby,1,0,H,1,0,H,S Duncan,8,17,2,1,16,8,2,9,3,1,0,0,Frank Lampard
E1,2018-10-03,Derby,Norwich,1,1,D,0,0,D,G Eltringham,14,14,6,5,12,17,7,8,1,2,0,0,Frank Lampard
E1,2018-10-06,QPR,Derby,1,1,D,0,1,A,D Webb,13,14,3,5,19,12,1,10,3,2,0,0,Frank Lampard
E1,2018-10-20,Derby,Sheffield United,2,1,H,1,1,D,O Langford,12,13,4,4,8,12,4,9,0,1,0,0,Frank Lampard
E1,2018-10-24,West Brom,Derby,1,4,A,0,2,A,R Joyce,16,20,5,9,9,16,4,2,1,2,0,0,Frank Lampard
E1,2018-10-27,Middlesbrough,Derby,1,1,D,0,1,A,S Hooper,10,18,0,7,12,10,9,4,1,1,0,0,Frank Lampard
E1,2018-11-03,Derby,Birmingham,3,1,H,0,1,A,C Kavanagh,18,6,10,3,5,11,6,7,0,3,0,0,Frank Lampard
E1,2018-11-10,Derby,Aston Villa,0,3,A,0,0,D,J Brooks,11,21,5,5,17,10,2,5,3,2,0,0,Frank Lampard
E1,2018-11-24,Sheffield Weds,Derby,1,2,A,1,2,A,J Simpson,14,9,3,3,11,14,6,9,0,3,0,0,Frank Lampard
E1,2018-11-28,Stoke,Derby,2,1,H,1,0,H,D England,8,16,4,8,12,10,6,7,2,3,1,0,Frank Lampard
