Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E1,09/08/2008,Derby,Doncaster,0,1,A,0,0,D,A D'Urso,13,8,5,5,9,11,5,2,0,2,0,0
E1,16/08/2008,Bristol City,Derby,1,1,D,1,0,H,S Attwell,12,14,7,8,13,12,11,3,0,1,0,0
E1,23/08/2008,Derby,Southampton,0,1,A,0,0,D,G Laws,17,17,9,9,4,11,10,13,0,1,0,0
E1,30/08/2008,Barnsley,Derby,2,0,H,0,0,D,G Salisbury,9,12,5,6,17,19,6,7,2,1,0,0
E1,13/09/2008,Derby,Sheffield United,2,1,H,1,1,D,C Foy,18,10,6,5,10,21,9,4,1,3,0,0
E1,16/09/2008,Swansea,Derby,1,1,D,0,0,D,A Penn,11,6,5,2,9,12,8,3,0,2,0,0
E1,20/09/2008,Derby,Cardiff,1,1,D,1,0,H,M Haywood,9,10,4,3,6,4,6,8,0,0,0,0
E1,27/09/2008,QPR,Derby,0,2,A,0,0,D,A Taylor,7,11,1,9,9,11,2,8,1,1,0,0
E1,30/09/2008,Derby,Birmingham,1,1,D,0,1,A,M Oliver,11,9,5,2,13,19,3,6,3,0,0,0
E1,04/10/2008,Norwich,Derby,1,2,A,0,1,A,D Deadman,9,8,3,4,9,12,4,4,1,4,0,1
E1,18/10/2008,Derby,Plymouth,2,1,H,1,1,D,C Webster,10,13,7,7,12,7,6,3,0,0,0,0
E1,21/10/2008,Blackpool,Derby,3,2,H,2,0,H,A Hall,16,15,12,9,15,11,4,5,0,2,0,0
E1,25/10/2008,Coventry,Derby,1,1,D,0,1,A,I Williamson,21,8,10,5,12,14,6,2,2,2,0,0
E1,28/10/2008,Derby,Norwich,3,1,H,2,0,H,N Swarbrick,22,10,11,4,9,5,11,5,0,0,0,0
E1,02/11/2008,Derby,Nott'm Forest,1,1,D,0,0,D,S Attwell,14,6,7,4,15,13,10,7,3,5,0,1
E1,08/11/2008,Reading,Derby,3,0,H,1,0,H,D Mattison,14,4,5,1,10,8,8,4,0,0,0,0
E1,15/11/2008,Derby,Sheffield Weds,3,0,H,1,0,H,K Stroud,14,15,9,3,16,16,8,4,1,1,0,0
E1,22/11/2008,Ipswich,Derby,2,0,H,1,0,H,M Russell,12,8,8,5,9,12,3,4,1,2,0,0
E1,25/11/2008,Derby,Preston,2,2,D,2,2,D,A Woolmer,14,12,8,3,9,7,3,12,1,0,0,0
E1,29/11/2008,Burnley,Derby,3,0,H,3,0,H,S Tanner,11,12,7,3,10,15,7,4,1,3,0,0
E1,06/12/2008,Derby,Crystal Palace,1,2,A,1,1,D,M Oliver,7,12,3,7,10,11,8,6,1,1,0,0
E1,09/12/2008,Wolves,Derby,3,0,H,2,0,H,G Hegley,5,9,3,5,5,11,1,4,0,0,0,0
E1,15/12/2008,Charlton,Derby,2,2,D,1,0,H,A D'Urso,10,9,7,6,8,16,2,4,0,2,0,0
E1,20/12/2008,Derby,Watford,1,0,H,0,0,D,C Boyeson,15,11,7,5,18,13,10,6,0,0,0,0
E1,26/12/2008,Preston,Derby,2,0,H,1,0,H,K Friend,13,18,5,9,13,13,5,3,1,0,0,0
E1,28/12/2008,Derby,Ipswich,0,1,A,0,1,A,K Stroud,12,10,5,7,14,13,9,2,2,2,1,0
E1,17/01/2009,Derby,QPR,0,2,A,0,2,A,K Wright,14,6,6,4,14,13,5,7,2,0,0,0
