Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E1,27/01/2009,Birmingham,Derby,1,0,H,0,0,D,G Salisbury,9,13,2,8,17,16,5,6,2,1,0,0
E1,31/01/2009,Derby,Coventry,2,1,H,2,0,H,M Jones,20,5,11,2,9,13,12,4,1,0,0,0
E1,07/02/2009,Plymouth,Derby,0,3,A,0,1,A,S Cook,9,14,5,8,11,9,6,10,0,0,0,0
E1,18/02/2009,Derby,Blackpool,4,1,H,1,1,D,D Whitestone,16,8,10,3,8,14,6,2,1,2,0,0
E1,21/02/2009,Nott'm Forest,Derby,1,3,A,0,1,A,A Marriner,8,11,3,6,16,7,7,4,2,0,0,0
E1,27/02/2009,Doncaster,Derby,2,1,H,0,0,D,R Booth,11,7,4,3,12,13,4,3,0,0,0,0
E1,03/03/2009,Derby,Swansea,2,2,D,1,0,H,P Crossley,18,11,8,8,10,7,2,4,1,2,0,0
E1,07/03/2009,Derby,Bristol City,2,1,H,1,0,H,K Stroud,8,18,6,12,17,12,3,6,1,0,0,0
E1,10/03/2009,Southampton,Derby,1,1,D,0,0,D,K Friend,11,11,6,7,11,9,3,5,0,0,0,0
E1,14/03/2009,Sheffield United,Derby,4,2,H,2,0,H,I Williamson,13,15,7,9,16,14,0,3,1,3,0,0
E1,21/03/2009,Derby,Barnsley,0,0,D,0,0,D,A Penn,12,15,5,11,12,10,6,5,1,0,0,0
E1,04/04/2009,Derby,Burnley,1,1,D,0,0,D,G Hegley,6,8,5,3,11,11,8,9,1,1,0,0
E1,08/04/2009,Cardiff,Derby,4,1,H,1,0,H,N Swarbrick,6,6,6,4,9,5,4,10,0,0,0,0
E1,11/04/2009,Sheffield Weds,Derby,0,1,A,0,1,A,S Tanner,15,8,6,6,15,12,8,4,1,2,0,0
E1,13/04/2009,Derby,Wolves,2,3,A,1,1,D,P Taylor,17,8,8,5,7,15,5,4,0,1,0,0
E1,18/04/2009,Crystal Palace,Derby,1,0,H,0,0,D,A Woolmer,9,9,3,7,10,8,7,5,3,1,1,0
E1,21/04/2009,Derby,Reading,0,2,A,0,0,D,C Webster,15,12,11,8,8,9,11,4,1,0,0,0
E1,25/04/2009,Derby,Charlton,1,0,H,0,0,D,F Graham,12,11,4,3,6,8,7,8,1,1,0,0
E1,03/05/2009,Watford,Derby,3,1,H,3,0,H,S Mathieson,18,13,12,8,9,8,6,6,1,0,0,0
