Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,14/12/2016,QPR,Derby,0,1,A,0,0,D,D Coote,15,9,5,3,12,6,10,2,0,2,0,0,3.66,3.42,2.18,3.5,3.42,2.26
E1,17/12/2016,Fulham,Derby,2,2,D,1,1,D,A Woolmer,18,7,6,2,16,12,4,4,3,1,0,0,2.33,3.47,3.24,2.41,3.39,3.23
E1,27/12/2016,Derby,Birmingham,1,0,H,0,0,D,G Scott,14,5,2,1,14,16,5,1,1,2,0,0,1.7,3.77,6.03,1.46,4.6,8.55
E1,31/12/2016,Derby,Wigan,0,0,D,0,0,D,G Eltringham,17,7,4,3,7,8,10,2,2,0,0,0,1.59,3.97,6.93,1.59,3.92,7.35
E1,02/01/2017,Norwich,Derby,3,0,H,1,0,H,D Bond,24,6,12,3,10,10,10,4,1,2,0,1,2.4,3.35,3.24,2.3,3.35,3.49
E1,13/01/2017,Leeds,Derby,1,0,H,1,0,H,S Duncan,21,6,8,1,9,14,16,3,2,2,0,1,2.58,3.18,3.1,2.53,3.19,3.21
E1,21/01/2017,Derby,Reading,3,2,H,1,1,D,P Bankes,12,13,3,6,15,14,3,3,3,1,0,1,1.95,3.48,4.43,2.06,3.42,4.13
E1,31/01/2017,Ipswich,Derby,0,3,A,0,3,A,A Madley,14,14,3,8,15,9,7,5,0,0,0,0,3.12,3.2,2.55,3.27,3.19,2.5
E1,04/02/2017,Newcastle,Derby,1,0,H,1,0,H,D Bond,19,4,8,2,15,9,5,5,2,1,0,0,1.83,3.62,4.94,1.82,3.73,4.92
E1,11/02/2017,Derby,Bristol City,3,3,D,0,3,A,A Davies,11,16,6,6,13,13,8,3,2,4,0,0,1.9,3.59,4.53,1.94,3.52,4.53
E1,14/02/2017,Derby,Cardiff,3,4,A,2,1,H,S Martin,18,15,5,8,5,14,9,5,0,0,0,0,2.07,3.29,4.12,2.1,3.28,4.17
E1,21/02/2017,Derby,Burton,0,0,D,0,0,D,S Hooper,14,3,3,1,6,11,11,0,1,1,0,0,1.81,3.66,4.98,1.78,3.65,5.44
E1,25/02/2017,Aston Villa,Derby,1,0,H,1,0,H,A Madley,12,13,2,1,14,10,4,8,1,2,1,0,2.45,3.23,3.25,2.42,3.2,3.4
E1,28/02/2017,Blackburn,Derby,1,0,H,0,0,D,D Bond,14,18,6,2,8,9,5,3,4,2,0,0,3.11,3.24,2.56,3.02,3.22,2.65
E1,04/03/2017,Derby,Barnsley,2,1,H,0,0,D,K Stroud,23,15,10,6,13,13,9,6,1,2,0,0,1.78,3.78,5.08,1.8,3.92,4.76
E1,07/03/2017,Derby,Preston,1,1,D,0,0,D,J Linington,15,6,5,1,7,12,3,3,1,1,0,0,2.01,3.52,4.09,1.96,3.58,4.34
E1,10/03/2017,Brighton,Derby,3,0,H,2,0,H,C Kavanagh,16,3,6,0,16,11,8,2,0,0,0,0,1.78,3.69,5.38,1.81,3.73,4.98
E1,18/03/2017,Nott'm Forest,Derby,2,2,D,1,0,H,P Bankes,11,13,3,7,9,12,5,5,1,1,0,0,3.14,3.3,2.48,3.31,3.09,2.54
E1,31/03/2017,Derby,QPR,1,0,H,0,0,D,G Eltringham,17,8,4,2,12,13,6,2,0,1,0,0,1.93,3.55,4.56,1.89,3.62,4.64
E1,04/04/2017,Derby,Fulham,4,2,H,2,1,H,J Simpson,11,12,10,3,10,9,2,2,1,3,0,0,2.46,3.47,3.02,2.51,3.53,2.95
E1,08/04/2017,Birmingham,Derby,1,2,A,0,1,A,A Davies,22,12,3,5,9,14,9,3,0,2,0,0,3.24,3.39,2.37,3.1,3.48,2.44
E1,14/04/2017,Brentford,Derby,4,0,H,1,0,H,T Robinson,11,10,6,2,7,14,1,6,2,3,0,0,2.77,3.58,2.6,2.72,3.61,2.67
E1,17/04/2017,Derby,Huddersfield,1,1,D,0,1,A,D Bond,10,2,2,1,13,13,6,2,1,2,0,0,2.65,3.28,2.91,2.5,3.42,3.05
E1,22/04/2017,Sheffield Weds,Derby,2,1,H,0,0,D,P Tierney,13,12,2,4,5,6,2,4,1,1,0,0,1.84,3.75,4.68,2,3.57,4.15
E1,29/04/2017,Derby,Wolves,3,1,H,2,1,H,C Kavanagh,17,7,6,3,9,8,4,2,1,1,0,1,1.95,3.56,4.3,1.87,3.74,4.51
E1,07/05/2017,Rotherham,Derby,1,1,D,0,0,D,D Deadman,10,10,6,4,9,11,0,6,0,0,0,0,5.04,4.04,1.72,4.66,4.06,1.77
