Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,06/08/2016,Derby,Brighton,0,0,D,0,0,D,J Simpson,12,16,4,5,13,17,1,7,2,2,0,0,2.14,3.39,3.79,2.28,3.31,3.57
E1,13/08/2016,Barnsley,Derby,2,0,H,1,0,H,T Harrington,9,16,4,4,17,12,8,8,3,4,0,0,3.91,3.51,2.06,3.82,3.63,2.07
E1,16/08/2016,Preston,Derby,0,1,A,0,0,D,D Coote,9,16,1,3,15,7,5,5,1,0,0,0,3.3,3.33,2.37,3.32,3.44,2.33
E1,20/08/2016,Derby,Aston Villa,0,0,D,0,0,D,P Tierney,11,9,2,4,12,17,5,7,3,3,0,0,2.14,3.39,3.8,2.25,3.38,3.57
E1,26/08/2016,Burton,Derby,1,0,H,1,0,H,A Davies,7,10,4,3,14,9,2,3,1,1,0,0,3.34,3.39,2.32,4.03,3.44,2.06
E1,10/09/2016,Derby,Newcastle,0,2,A,0,1,A,J Linington,10,11,2,3,8,13,2,5,0,3,0,0,2.91,3.14,2.75,2.86,3.23,2.77
E1,13/09/2016,Derby,Ipswich,0,1,A,0,0,D,S Attwell,24,5,5,2,7,17,4,0,0,4,0,0,1.88,3.62,4.61,2.01,3.47,4.27
E1,17/09/2016,Bristol City,Derby,1,1,D,0,1,A,A Woolmer,17,11,2,4,13,13,3,5,0,2,0,0,2.52,3.31,3.06,2.75,3.32,2.82
E1,24/09/2016,Derby,Blackburn,1,2,A,0,0,D,A Madley,16,8,5,2,10,11,5,4,1,2,0,0,1.66,3.88,6.07,1.69,4.15,5.32
E1,27/09/2016,Cardiff,Derby,0,2,A,0,0,D,G Eltringham,9,14,3,7,13,11,3,4,1,2,1,0,2.84,3.29,2.71,3.26,3.38,2.4
E1,01/10/2016,Reading,Derby,1,1,D,0,0,D,T Robinson,11,11,4,4,12,11,6,5,2,4,0,0,2.81,3.23,2.79,2.96,3.2,2.71
E1,15/10/2016,Derby,Leeds,1,0,H,0,0,D,T Harrington,9,13,3,2,10,10,6,5,2,0,0,0,1.78,3.64,5.27,2.02,3.46,4.27
E1,18/10/2016,Derby,Brentford,0,0,D,0,0,D,S Duncan,14,9,3,3,8,9,6,3,1,1,0,0,1.94,3.6,4.39,1.93,3.62,4.43
E1,22/10/2016,Huddersfield,Derby,1,0,H,0,0,D,P Bankes,21,7,5,2,12,12,6,5,2,1,0,0,2.74,2.99,3.07,2.8,3.12,2.92
E1,29/10/2016,Derby,Sheffield Weds,2,0,H,1,0,H,J Linington,19,17,6,7,3,10,9,8,1,3,0,0,2.51,3.14,3.24,2.43,3.28,3.29
E1,05/11/2016,Wolves,Derby,2,3,A,0,2,A,P Tierney,11,16,5,9,15,10,7,9,5,1,0,0,2.66,3.23,2.94,2.57,3.23,3.11
E1,19/11/2016,Derby,Rotherham,3,0,H,2,0,H,O Langford,20,8,11,1,6,19,5,7,0,2,0,0,1.46,4.86,7.55,1.47,5,7.27
E1,26/11/2016,Derby,Norwich,1,0,H,0,0,D,S Hooper,12,8,3,2,5,16,5,1,2,2,0,0,2.11,3.47,3.8,2.13,3.6,3.67
E1,03/12/2016,Wigan,Derby,0,1,A,0,1,A,A Madley,17,4,2,1,9,9,9,2,1,3,0,0,3.67,3.26,2.24,3.64,3.33,2.25
E1,11/12/2016,Derby,Nott'm Forest,3,0,H,1,0,H,C Kavanagh,18,7,5,3,9,17,5,2,3,5,0,0,1.82,3.66,4.96,1.77,3.69,5.42
