Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,04/08/2013,Derby,Blackburn,1,1,D,1,0,H,S Attwell,15,20,5,4,11,15,7,7,1,2,0,0,2.04,3.58,3.86,1.86,3.64,4.78
E1,10/08/2013,Brighton,Derby,1,2,A,1,1,D,A D'Urso,10,8,4,2,14,14,6,6,3,5,0,0,1.92,3.6,4.42,2.34,3.28,3.5
E1,17/08/2013,Derby,Leicester,0,1,A,0,1,A,R Madley,15,8,5,3,10,13,7,4,0,2,0,0,2.49,3.4,3.04,2.59,3.35,2.98
E1,24/08/2013,Yeovil,Derby,0,3,A,0,2,A,K Hill,6,11,3,7,14,14,8,6,1,2,0,0,3.51,3.49,2.2,3.8,3.61,2.09
E1,31/08/2013,Derby,Burnley,0,3,A,0,2,A,A Madley,14,10,3,5,9,12,7,1,1,2,0,0,1.99,3.5,4.21,2.02,3.37,4.24
E1,14/09/2013,Millwall,Derby,1,5,A,0,2,A,K Stroud,3,9,1,6,16,14,1,6,3,5,1,0,3,3.39,2.53,3.16,3.41,2.43
E1,17/09/2013,Bolton,Derby,2,2,D,2,2,D,S Mathieson,22,14,4,8,14,8,9,2,3,2,0,0,2.6,3.57,2.77,2.8,3.52,2.64
E1,21/09/2013,Derby,Reading,1,3,A,0,0,D,T Robinson,15,11,8,5,12,11,8,5,1,2,0,0,2.13,3.56,3.64,2.02,3.6,4.02
E1,28/09/2013,Nott'm Forest,Derby,1,0,H,1,0,H,S Hooper,13,12,5,2,26,8,7,5,4,1,0,1,2.05,3.64,3.77,2.16,3.42,3.74
E1,01/10/2013,Derby,Ipswich,4,4,D,1,4,A,T Kettle,14,14,6,5,14,15,8,6,1,5,0,0,2.23,3.61,3.35,2.17,3.59,3.57
E1,05/10/2013,Derby,Leeds,3,1,H,2,1,H,G Eltrigham,16,11,4,3,15,16,8,5,2,1,0,0,2.03,3.56,3.99,1.91,3.7,4.41
E1,19/10/2013,Watford,Derby,2,3,A,1,2,A,J Linington,15,10,3,5,18,11,4,4,3,3,0,0,1.95,3.81,3.99,2.04,3.71,3.86
E1,26/10/2013,Derby,Birmingham,1,1,D,1,0,H,R East,15,12,7,4,13,19,6,9,1,3,0,0,1.82,3.82,4.66,1.74,4.02,5.12
E1,02/11/2013,QPR,Derby,2,1,H,1,1,D,J Moss,17,8,4,4,18,17,6,5,2,4,0,0,2.02,3.61,3.96,2.02,3.52,4.16
E1,09/11/2013,Derby,Sheffield Weds,3,0,H,1,0,H,D Webb,23,10,5,1,17,11,10,5,1,4,0,0,1.89,3.8,4.28,2.1,3.65,3.72
E1,23/11/2013,Bournemouth,Derby,0,1,A,0,0,D,S Martin,14,16,3,8,9,11,8,6,2,2,0,0,3.05,3.53,2.41,2.95,3.55,2.5
E1,01/12/2013,Wigan,Derby,1,3,A,0,3,A,D Coote,15,7,7,3,22,23,8,2,4,2,0,0,2.35,3.53,3.16,2.35,3.45,3.24
E1,04/12/2013,Derby,Middlesbrough,2,1,H,1,0,H,A Madley,17,8,7,4,11,13,12,1,0,1,0,1,1.97,3.67,3.99,1.97,3.74,4.09
E1,07/12/2013,Derby,Blackpool,5,1,H,0,1,A,A Haines,19,6,6,2,12,17,10,1,0,1,0,2,1.8,3.83,4.79,1.69,4.03,5.54
E1,14/12/2013,Charlton,Derby,0,2,A,0,1,A,A Davies,11,10,4,4,11,16,3,4,2,1,0,0,3.3,3.59,2.25,3.18,3.45,2.4
E1,21/12/2013,Derby,Doncaster,3,1,H,1,0,H,N Miller,13,12,6,4,11,11,4,4,0,0,0,0,1.4,5.02,9.08,1.42,4.97,8.56
E1,26/12/2013,Huddersfield,Derby,1,1,D,0,1,A,C Boyeson,24,10,5,6,12,11,10,2,4,0,0,0,3.25,3.53,2.3,3.47,3.47,2.26
E1,29/12/2013,Barnsley,Derby,1,2,A,0,1,A,M Heywood,19,14,3,4,16,12,3,3,2,1,0,0,4.29,3.76,1.9,3.86,3.74,2.01
