Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,01/01/2014,Derby,Wigan,0,1,A,0,0,D,D Webb,7,9,1,2,12,15,6,6,0,3,0,0,2.06,3.66,3.78,2.09,3.59,3.85
E1,10/01/2014,Leicester,Derby,4,1,H,1,0,H,D Coote,25,9,8,1,16,14,6,7,0,1,0,0,1.98,3.62,4.19,2,3.69,4.01
E1,18/01/2014,Derby,Brighton,1,0,H,0,0,D,A Haines,8,10,2,2,16,14,3,3,5,3,0,0,2.32,3.47,3.3,2.29,3.54,3.34
E1,25/01/2014,Blackburn,Derby,1,1,D,0,0,D,T Harrington,16,17,5,3,12,13,2,6,1,2,0,0,2.66,3.31,2.93,2.53,3.41,3.03
E1,28/01/2014,Derby,Yeovil,3,2,H,0,2,A,J Simpson,36,8,9,3,10,20,5,3,1,4,0,0,1.44,4.91,8.07,1.53,4.66,6.67
E1,01/02/2014,Birmingham,Derby,3,3,D,0,0,D,C Pawson,11,19,4,9,17,12,5,8,1,4,0,0,3.42,3.53,2.23,3.84,3.62,2.07
E1,10/02/2014,Derby,QPR,1,0,H,1,0,H,M Naylor,9,10,2,3,17,14,10,6,2,4,0,0,2.3,3.39,3.39,2.12,3.53,3.7
E1,18/02/2014,Sheffield Weds,Derby,0,1,A,0,0,D,D Bond,18,9,4,2,21,11,11,2,3,3,0,0,3.46,3.53,2.23,3.38,3.48,2.29
E1,22/02/2014,Derby,Bournemouth,1,0,H,0,0,D,M Heywood,13,10,2,1,10,10,8,4,2,4,0,0,1.87,3.76,4.57,1.88,3.77,4.46
E1,01/03/2014,Burnley,Derby,2,0,H,1,0,H,R Madley,13,15,3,3,10,8,5,3,2,1,0,1,2.29,3.38,3.39,2.31,3.43,3.39
E1,08/03/2014,Derby,Millwall,0,1,A,0,0,D,M Russell,14,8,3,5,7,12,9,0,0,2,0,0,1.58,4.15,6.53,1.56,4.35,6.71
E1,11/03/2014,Derby,Bolton,0,0,D,0,0,D,G Scott,18,8,6,4,7,16,10,3,0,2,0,0,1.88,3.76,4.5,1.98,3.66,4.13
E1,15/03/2014,Reading,Derby,0,0,D,0,0,D,M Jones,12,17,2,3,16,13,2,7,2,2,0,0,2.53,3.47,2.93,2.74,3.47,2.73
E1,22/03/2014,Derby,Nott'm Forest,5,0,H,3,0,H,M Naylor,19,10,8,1,11,21,4,5,1,3,0,0,2.15,3.41,3.76,2.14,3.44,3.83
E1,25/03/2014,Ipswich,Derby,2,1,H,0,1,A,F Graham,9,14,3,4,8,16,2,5,2,4,0,0,2.81,3.32,2.71,2.93,3.29,2.67
E1,29/03/2014,Derby,Charlton,3,0,H,2,0,H,M Haywood,24,11,7,4,5,8,10,7,0,0,0,0,1.6,4.02,6.62,1.56,4.25,6.86
E1,05/04/2014,Middlesbrough,Derby,1,0,H,0,0,D,A Haines,12,12,2,2,11,11,7,2,2,2,0,0,2.92,3.33,2.65,2.83,3.33,2.72
E1,08/04/2014,Blackpool,Derby,1,3,A,1,3,A,D Webb,10,12,3,6,16,12,7,3,5,1,0,0,3.93,3.41,2.09,4.24,3.51,1.99
E1,12/04/2014,Derby,Huddersfield,3,1,H,1,1,D,D Deadman,16,6,6,4,12,12,9,0,0,1,0,2,1.69,4.02,5.57,1.68,4.09,5.55
E1,18/04/2014,Doncaster,Derby,0,2,A,0,1,A,S Hooper,13,9,2,5,10,13,6,6,2,2,0,0,4.5,3.88,1.83,5.08,4.12,1.72
E1,21/04/2014,Derby,Barnsley,2,1,H,2,0,H,G Scott,24,13,8,3,7,8,7,7,0,2,0,0,1.57,4.29,6.26,1.5,4.64,7.26
E1,26/04/2014,Derby,Watford,4,2,H,1,1,D,S Duncan,27,13,8,4,2,9,14,7,0,3,0,1,1.94,3.8,3.98,1.66,4.31,5.34
E1,03/05/2014,Leeds,Derby,1,1,D,0,1,A,J Linington,28,14,11,7,12,13,5,3,1,1,0,0,3.12,3.6,2.37,3.39,3.71,2.2
