Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2020-12-01,19:45,Derby,Coventry,1,1,D,0,0,D,D Whitestone,12,9,3,3,13,13,2,2,4,1,0,0,Wayne Rooney
E1,2020-12-05,15:00,Millwall,Derby,0,1,A,0,0,D,D England,12,11,3,3,14,15,4,3,0,5,0,0,Wayne Rooney
E1,2020-12-09,19:45,Brentford,Derby,0,0,D,0,0,D,D Webb,12,5,0,0,13,8,10,2,2,1,0,0,Wayne Rooney
E1,2020-12-12,15:00,Derby,Stoke,0,0,D,0,0,D,A Woolmer,11,4,5,1,16,14,8,3,3,1,0,0,Wayne Rooney
E1,2020-12-16,17:30,Derby,Swansea,2,0,H,2,0,H,G Ward,11,4,5,0,16,12,2,5,0,1,0,0,Wayne Rooney
E1,2020-12-26,15:00,Derby,Preston,0,1,A,0,0,D,D Bond,5,9,1,4,11,10,2,7,0,1,1,0,Wayne Rooney
E1,2020-12-29,17:30,Birmingham,Derby,0,4,A,0,3,A,T Harrington,7,20,1,9,17,14,2,7,0,1,0,0,Wayne Rooney
E1,2021-01-01,17:30,Sheffield Weds,Derby,1,0,H,0,0,D,M Donohue,10,14,5,3,11,14,0,7,0,2,0,0,Wayne Rooney
E1,2021-01-16,15:00,Derby,Rotherham,0,1,A,0,0,D,J Linington,9,10,4,3,15,13,7,2,2,1,0,0,Wayne Rooney
E1,2021-01-19,18:00,Derby,Bournemouth,1,0,H,1,0,H,O Langford,12,10,6,2,12,12,3,4,0,1,0,0,Wayne Rooney
E1,2021-01-23,15:00,QPR,Derby,0,1,A,0,0,D,T Robinson,12,6,2,2,15,11,8,5,2,1,0,0,Wayne Rooney
E1,2021-01-30,15:00,Derby,Bristol City,1,0,H,1,0,H,D England,12,4,6,2,14,13,4,0,1,1,0,0,Wayne Rooney
E1,2021-02-03,19:00,Rotherham,Derby,3,0,H,0,0,D,J Simpson,9,10,4,2,16,12,5,5,2,3,0,0,Wayne Rooney
E1,2021-02-13,15:00,Derby,Middlesbrough,2,1,H,2,1,H,M Donohue,10,7,5,5,17,17,3,1,2,1,0,0,Wayne Rooney
E1,2021-02-16,19:45,Wycombe,Derby,1,2,A,0,1,A,K Friend,17,14,6,3,14,15,5,3,2,2,0,0,Wayne Rooney
E1,2021-02-19,19:45,Watford,Derby,2,1,H,2,0,H,T Robinson,8,4,4,0,12,9,3,10,2,2,0,0,Wayne Rooney
E1,2021-02-23,19:00,Derby,Huddersfield,2,0,H,1,0,H,G Eltringham,12,5,4,1,7,13,3,6,1,1,0,1,Wayne Rooney
E1,2021-02-26,19:45,Derby,Nott'm Forest,1,1,D,0,1,A,O Langford,13,13,2,5,12,13,3,5,1,0,0,0,Wayne Rooney
E1,2021-03-02,19:00,Cardiff,Derby,4,0,H,1,0,H,D Whitestone,14,7,11,1,9,5,6,5,0,0,0,0,Wayne Rooney
E1,2021-03-06,15:00,Coventry,Derby,1,0,H,1,0,H,J Brooks,10,7,3,1,12,14,5,7,2,4,0,0,Wayne Rooney
E1,2021-03-10,19:00,Barnsley,Derby,0,0,D,0,0,D,K Stroud,7,6,2,2,14,7,3,5,2,0,0,0,Wayne Rooney
E1,2021-03-13,15:00,Derby,Millwall,0,1,A,0,1,A,D England,13,2,3,1,10,14,3,1,1,1,0,0,Wayne Rooney
E1,2021-03-16,19:00,Derby,Brentford,2,2,D,0,2,A,D Webb,11,10,3,4,10,9,7,4,0,0,0,0,Wayne Rooney
