Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2020-09-12,15:00,Derby,Reading,0,2,A,0,2,A,D Bond,9,8,2,3,15,7,6,2,3,2,0,0,Phillip Cocu
E1,2020-09-19,15:00,Luton,Derby,2,1,H,1,0,H,D Whitestone,9,14,3,3,15,13,4,5,2,0,0,0,Phillip Cocu
E1,2020-09-26,15:00,Derby,Blackburn,0,4,A,0,3,A,A Woolmer,15,23,5,10,14,11,9,4,2,3,0,0,Phillip Cocu
E1,2020-10-03,12:30,Norwich,Derby,0,1,A,0,0,D,S Attwell,13,9,5,3,13,6,7,2,3,2,0,0,Phillip Cocu
E1,2020-10-16,19:45,Derby,Watford,0,1,A,0,0,D,G Eltringham,9,8,1,1,10,10,3,3,1,1,0,0,Phillip Cocu
E1,2020-10-20,19:45,Huddersfield,Derby,1,0,H,0,0,D,D Webb,18,12,3,2,15,11,6,5,1,3,0,0,Phillip Cocu
E1,2020-10-23,19:45,Nott'm Forest,Derby,1,1,D,0,1,A,T Harrington,12,12,5,4,18,8,8,5,2,0,0,0,Phillip Cocu
E1,2020-10-28,19:45,Derby,Cardiff,1,1,D,1,0,H,O Langford,15,8,5,2,12,10,5,3,3,3,0,0,Phillip Cocu
E1,2020-10-31,15:00,Bournemouth,Derby,1,1,D,0,1,A,R Jones,10,10,5,4,13,13,4,1,2,1,0,0,Phillip Cocu
E1,2020-11-04,19:45,Derby,QPR,0,1,A,0,0,D,G Ward,7,14,4,3,9,11,5,6,1,0,0,0,Phillip Cocu
E1,2020-11-07,15:00,Derby,Barnsley,0,2,A,0,1,A,L Doughty,9,17,3,5,10,13,4,3,3,2,0,0,Phillip Cocu
E1,2020-11-21,15:00,Bristol City,Derby,1,0,H,0,0,D,K Stroud,11,13,3,2,7,11,1,6,1,1,0,0,Liam Rosenior
E1,2020-11-25,19:00,Middlesbrough,Derby,3,0,H,1,0,H,P Bankes,10,10,5,2,11,16,4,5,0,4,0,0,Liam Rosenior
E1,2020-11-28,15:00,Derby,Wycombe,1,1,D,1,0,H,O Langford,11,8,5,2,13,14,5,3,0,1,0,0,Wayne Rooney
