Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,06/12/2015,Sheffield Weds,Derby,0,0,D,0,0,D,G Scott,10,8,1,2,13,9,5,2,4,2,0,0,3.29,3.31,2.38,3.48,3.24,2.33
E1,12/12/2015,Derby,Brighton,2,2,D,1,1,D,L Mason,19,8,7,3,9,11,7,4,1,1,0,0,2.03,3.5,4.07,1.94,3.56,4.46
E1,15/12/2015,Derby,Bristol City,4,0,H,1,0,H,A Woolmer,15,6,6,1,14,10,5,3,1,1,0,0,1.56,4.26,6.83,1.61,4.06,6.55
E1,19/12/2015,Ipswich,Derby,0,1,A,0,1,A,K Hill,11,7,2,4,8,11,9,3,2,2,0,0,3.34,3.36,2.35,3.32,3.35,2.38
E1,26/12/2015,Derby,Fulham,2,0,H,0,0,D,S Duncan,19,11,1,4,8,7,4,4,1,1,0,0,1.48,4.68,7.39,1.43,4.93,8.29
E1,29/12/2015,Leeds,Derby,2,2,D,1,1,D,M Heywood,12,13,4,4,13,13,3,9,3,2,0,0,4.22,3.38,2.03,3.63,3.32,2.26
E1,02/01/2016,Middlesbrough,Derby,2,0,H,0,0,D,N Swarbrick,16,10,4,2,13,6,5,7,0,2,0,0,2.29,3.26,3.55,2.48,3.12,3.39
E1,12/01/2016,Derby,Reading,1,1,D,1,1,D,D Coote,8,14,2,5,14,14,4,7,3,2,0,0,1.7,3.84,5.8,1.65,3.96,6.19
E1,16/01/2016,Derby,Birmingham,0,3,A,0,0,D,T Robinson,14,11,4,8,14,16,6,3,2,1,0,0,1.57,4.1,6.9,1.63,4.04,6.26
E1,25/01/2016,Burnley,Derby,4,1,H,1,1,D,M Oliver,9,14,6,4,12,11,3,11,0,2,0,0,2.76,3.21,2.84,2.55,3.23,3.13
E1,02/02/2016,Derby,Preston,0,0,D,0,0,D,O Langford,16,11,0,4,6,8,10,2,1,2,0,0,1.7,3.8,5.74,1.78,3.69,5.41
E1,06/02/2016,Fulham,Derby,1,1,D,1,1,D,D Deadman,14,16,3,3,12,6,5,5,2,1,0,0,3.62,3.63,2.11,3.38,3.4,2.33
E1,13/02/2016,Derby,Milton Keynes Dons,0,1,A,0,0,D,G Eltringham,13,8,4,1,16,14,7,4,2,2,0,0,1.53,4.3,7.28,1.49,4.58,7.68
E1,20/02/2016,Brentford,Derby,1,3,A,0,0,D,D Drysdale,12,11,4,8,9,9,7,3,1,0,0,0,3.57,3.38,2.23,3.02,3.36,2.56
E1,24/02/2016,Derby,Blackburn,1,0,H,1,0,H,N Miller,10,16,3,3,8,12,1,2,0,0,0,0,1.88,3.5,4.83,1.99,3.46,4.36
E1,27/02/2016,Wolves,Derby,2,1,H,1,1,D,G Scott,7,9,2,4,17,12,3,3,4,1,0,0,3.59,3.33,2.24,3.6,3.33,2.26
E1,05/03/2016,Derby,Huddersfield,2,0,H,1,0,H,E Ilderton,17,5,4,4,6,13,5,5,1,2,0,0,1.91,3.64,4.41,1.91,3.7,4.42
E1,08/03/2016,QPR,Derby,2,0,H,1,0,H,N Swarbrick,9,12,4,3,14,8,2,11,2,0,0,0,3.42,3.35,2.33,3.47,3.31,2.33
E1,12/03/2016,Rotherham,Derby,3,3,D,0,0,D,D Webb,14,22,5,8,7,4,6,5,1,0,0,0,3.93,3.37,2.11,4.32,3.42,2.02
E1,19/03/2016,Derby,Nott'm Forest,1,0,H,0,0,D,K Stroud,10,8,2,1,11,17,2,7,2,1,0,0,1.71,3.75,5.75,1.86,3.49,5.07
E1,02/04/2016,Cardiff,Derby,2,1,H,1,0,H,C Kavanagh,12,4,4,1,9,5,6,2,2,1,0,0,2.95,3.27,2.63,2.87,3.23,2.73
E1,05/04/2016,Derby,Hull,4,0,H,2,0,H,T Harrington,17,15,7,2,14,13,3,6,0,1,0,1,2.89,3.22,2.75,2.92,3.19,2.74
E1,09/04/2016,Derby,Bolton,4,1,H,2,0,H,A Woolmer,25,8,8,3,15,13,7,6,1,2,0,0,1.27,6.11,13.68,1.31,5.9,11.3
E1,16/04/2016,Charlton,Derby,0,1,A,0,0,D,D Bond,15,22,4,6,10,11,6,11,1,3,0,0,5.02,3.95,1.75,4.99,3.92,1.77
E1,19/04/2016,Bristol City,Derby,2,3,A,2,1,H,A Davies,7,15,2,7,10,5,4,6,0,1,0,0,3.16,3.43,2.42,3.14,3.46,2.42
E1,23/04/2016,Derby,Sheffield Weds,1,1,D,0,0,D,L Mason,12,8,7,3,11,13,9,7,5,4,0,0,2.13,3.46,3.75,2.17,3.42,3.75
E1,02/05/2016,Brighton,Derby,1,1,D,0,0,D,R Madley,16,8,4,5,11,16,11,7,0,3,1,0,1.67,4.14,5.43,1.82,3.84,4.75
E1,07/05/2016,Derby,Ipswich,0,1,A,0,1,A,T Robinson,19,8,4,4,8,16,7,4,2,2,0,0,1.72,4,5.18,1.6,4.37,5.91
