Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,08/08/2015,Bolton,Derby,0,0,D,0,0,D,A Madley,12,8,2,1,15,13,4,9,1,1,1,0,3.9,3.53,2.06,4.06,3.65,1.98
E1,15/08/2015,Derby,Charlton,1,1,D,0,0,D,N Miller,27,10,6,3,3,19,14,4,0,2,0,0,1.67,3.98,5.74,1.53,4.44,7.02
E1,18/08/2015,Derby,Middlesbrough,1,1,D,0,1,A,S Martin,6,7,4,2,9,16,4,3,1,2,0,0,2.63,3.23,2.98,2.81,3.46,2.66
E1,21/08/2015,Birmingham,Derby,1,1,D,1,0,H,L Mason,19,20,7,6,8,13,5,8,0,2,0,0,2.91,3.41,2.61,3.17,3.57,2.36
E1,29/08/2015,Derby,Leeds,1,2,A,0,1,A,D Bond,12,13,3,2,16,8,6,7,1,0,0,0,1.63,3.98,6.12,1.66,3.91,6.21
E1,12/09/2015,Preston,Derby,1,2,A,0,2,A,R Clark,19,14,6,4,17,17,5,1,2,2,0,0,2.64,3.33,2.89,2.86,3.39,2.66
E1,15/09/2015,Reading,Derby,0,1,A,0,0,D,A Davies,12,10,2,2,13,8,7,5,2,2,1,0,2.51,3.4,3.02,2.45,3.45,3.1
E1,21/09/2015,Derby,Burnley,0,0,D,0,0,D,D Whitestone,21,9,4,3,4,10,7,5,0,0,0,0,2.17,3.47,3.61,2.17,3.45,3.72
E1,26/09/2015,Milton Keynes Dons,Derby,1,3,A,0,0,D,C Kavanagh,26,10,4,5,11,18,8,2,1,3,0,0,3.88,3.67,2.02,4.21,3.82,1.92
E1,03/10/2015,Derby,Brentford,2,0,H,2,0,H,J Simpson,21,11,6,5,11,14,12,3,3,3,0,0,1.72,4.2,4.88,1.56,4.25,6.64
E1,18/10/2015,Derby,Wolves,4,2,H,3,1,H,A Madley,20,7,11,2,8,16,7,2,1,2,0,0,1.83,3.81,4.59,1.79,3.81,4.88
E1,21/10/2015,Blackburn,Derby,0,0,D,0,0,D,D Drysdale,10,10,3,1,9,12,6,2,4,2,0,0,3.01,3.5,2.46,3.36,3.58,2.26
E1,24/10/2015,Huddersfield,Derby,1,2,A,1,1,D,T Harrington,15,17,6,8,9,9,8,9,2,0,0,0,3.43,3.58,2.2,3.88,3.62,2.05
E1,31/10/2015,Derby,Rotherham,3,0,H,2,0,H,S Duncan,16,6,5,3,10,19,8,0,1,2,0,0,1.47,4.72,7.46,1.49,4.84,6.97
E1,03/11/2015,Derby,QPR,1,0,H,0,0,D,K Stroud,15,11,4,1,9,15,8,4,4,3,0,1,1.63,4.2,5.76,1.68,3.97,5.75
E1,06/11/2015,Nott'm Forest,Derby,1,0,H,1,0,H,S Hooper,15,14,4,2,16,9,2,5,3,1,0,0,3.77,3.52,2.12,3.8,3.5,2.12
E1,21/11/2015,Derby,Cardiff,2,0,H,0,0,D,E Ilderton,20,9,10,2,5,7,8,3,1,1,0,0,1.6,4.03,6.68,1.59,4.24,6.44
E1,27/11/2015,Hull,Derby,0,2,A,0,2,A,G Eltringham,23,9,2,4,10,8,10,4,0,0,0,0,2.31,3.34,3.49,2.29,3.37,3.49
